sku,attribute_set_code,product_type,categories,name,description,price,base_image,qty,is_in_stock,related_skus,crosssell_skus,upsell_skus,created_at,updated_at
24-MB01,Bag,simple,"Gear,Bags",Joust Duffle Bag,"The sporty Joust Duffle Bag can't be beat - not in the gym, not on the luggage carousel, not anywhere. Big enough to haul a basketball or soccer ball and some sneakers with plenty of room to spare, it's ideal for athletes with places to go.
Dual top handles.
Adjustable shoulder strap.
Full-length zipper.
L 29"" x W 13"" x H 11"".",34.0,/m/b/mb01-blue-0.jpg,100.0,1.0,,"24-WG086,24-WG083-blue,24-UG01,24-WG085_Group","24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB07",6/26/25,6/26/25
24-MB04,Bag,simple,"Gear,Collections,Bags",Strive Shoulder Pack,"Convenience is next to nothing when your day is crammed with action. So whether you're heading to class, gym, or the unbeaten path, make sure you've got your Strive Shoulder Pack stuffed with all your essentials, and extras as well.
Zippered main compartment.
Front zippered pocket.
Side mesh pocket.
Cell phone pocket on strap.
Adjustable shoulder strap and top carry handle.",32.0,/m/b/mb04-black-0.jpg,100.0,1.0,,"24-UG03,24-UG05,24-WG080,24-UG04","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07",6/26/25,6/26/25
24-MB03,Bag,simple,"Gear,Bags",Crown Summit Backpack,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.
Top handle.
Grommet holes.
Two-way zippers.
H 20"" x W 14"" x D 12"".
Weight: 2 lbs, 8 oz. Volume: 29 L.",38.0,/m/b/mb03-black-0.jpg,100.0,1.0,,"24-UG06,24-WG084,24-WG087,24-UG02","24-MB02,24-MB05,24-MB06,24-UB02,24-WB04,24-WB07",6/26/25,6/26/25
24-MB05,Bag,simple,"Gear,Collections,Bags,New Luma Yoga Collection",Wayfarer Messenger Bag,"Perfect for class, work or the gym, the Wayfarer Messenger Bag is packed with pockets. The dual-buckle flap closure reveals an organizational panel, and the roomy main compartment has spaces for your laptop and a change of clothes. An adjustable shoulder strap and easy-grip handle promise easy carrying.
Multiple internal zip pockets.
Made of durable nylon.",45.0,/m/b/mb05-black-0.jpg,100.0,1.0,,"24-UG04,24-WG088,24-WG087,24-WG081-gray","24-MB02,24-UB02",6/26/25,6/26/25
24-MB06,Bag,simple,"Gear,Collections,Bags,New Luma Yoga Collection",Rival Field Messenger,"The Rival Field Messenger packs all your campus, studio or trail essentials inside a unique design of soft, textured leather - with loads of character to spare. Two exterior pockets keep all your smaller items handy, and the roomy interior offers even more space.
Leather construction.
Adjustable fabric carry strap.
Dimensions: 18"" x 10"" x 4"".",45.0,/m/b/mb06-gray-0.jpg,100.0,1.0,,"24-UG07,24-WG087,24-WG080,24-WG085_Group","24-MB02,24-UB02",6/26/25,6/26/25
24-MB02,Bag,simple,"Gear,Bags",Fusion Backpack,"With the Fusion Backpack strapped on, every trek is an adventure - even a bus ride to work. That's partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.
Durable nylon construction.
2 main zippered compartments.
1 exterior zippered pocket.
Mesh side pouches.
Padded, adjustable straps.
Top carry handle.
Dimensions: 18"" x 10"" x 6"".",59.0,/m/b/mb02-gray-0.jpg,100.0,1.0,,"24-UG02,24-UG03,24-UG04,24-UG05",24-UB02,6/26/25,6/26/25
24-UB02,Bag,simple,"Gear,Bags",Impulse Duffle,"Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you'll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.
Wheeled.
Dual carry handles.
Retractable top handle.
W 14"" x H 26"" x D 11"".",74.0,/u/b/ub02-black-0.jpg,100.0,1.0,,"24-WG088,24-WG085_Group,24-UG06,24-UG02",,6/26/25,6/26/25
24-WB01,Bag,simple,"Gear,Bags",Voyage Yoga Bag,"Everything you need for a trip to the gym will fit inside this surprisingly spacious Voyage Yoga Bag. Stock it with a water bottle, change of clothes, pair of shoes, and even a few beauty products. Fits inside a locker and zips shut for security.
Slip pocket on front.
Contrast piping.
Durable nylon construction.",32.0,/w/b/wb01-black-0.jpg,100.0,1.0,,"24-UG07,24-WG082-pink,24-WG087,24-WG085_Group","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07",6/26/25,6/26/25
24-WB02,Bag,simple,"Gear,Bags",Compete Track Tote,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.
Two-way zippers.
Contrast detailing.
W 22.0"" x H 17"" x D 10"".",32.0,/w/b/wb02-green-0.jpg,100.0,1.0,,"24-WG088,24-UG01,24-WG084,24-WG082-pink","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07",6/26/25,6/26/25
24-WB05,Bag,simple,"Gear,Collections,Bags",Savvy Shoulder Tote,"Powerwalking to the gym or strolling to the local coffeehouse, the Savvy Shoulder Tote lets you stash your essentials in sporty style! A top-loading compartment provides quick and easy access to larger items, while zippered pockets on the front and side hold cash, credit cards and phone.
Water-resistant shell.
Water bottle pocket.
Padded, articulating shoulder strap.
Dimensions: W 21"" x H 15"" x D 10"".",32.0,/w/b/wb05-red-0.jpg,100.0,1.0,,"24-WG085,24-WG088,24-WG082-pink,24-WG087","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB06,24-WB07",6/26/25,6/26/25
24-WB06,Bag,simple,"Gear,Collections,Bags",Endeavor Daytrip Backpack,"With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day's worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.
Foam-padded adjustable shoulder straps.
900D polyester.
Oversized zippers.
Locker loop.",33.0,/w/b/wb06-red-0.jpg,100.0,1.0,,"24-WG084,24-WG085_Group,24-WG083-blue,24-UG02","24-MB01,24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB03,24-WB04,24-WB07",6/26/25,6/26/25
24-WB03,Bag,simple,"Gear,Bags",Driven Backpack,"School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it's outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.
Large main and small zip compartments.
Adjustable, padded straps.
Interior foam pockets.
Exterior zip compartment.
Left sport bottle pocket.
Survival gear sold separately.",36.0,/w/b/wb03-purple-0.jpg,100.0,1.0,,"24-UG03,24-WG084,24-WG087,24-WG085","24-MB02,24-MB03,24-MB05,24-MB06,24-UB02,24-WB04,24-WB07",6/26/25,6/26/25
24-WB07,Bag,simple,"Gear,Collections,Bags,New Luma Yoga Collection",Overnight Duffle,"For long weekends away, camping outings and business trips, the Overnight Duffle can't be beat. The dual handles make it a cinch to carry, while the durable waterproof exterior helps you worry less about the weather. With multiple organizational pockets inside and out, it's the perfect travel companion.
Dual top handles.
W 15"" x H 15"" x D 9"".",45.0,/w/b/wb07-brown-0.jpg,100.0,1.0,,"24-WG085_Group,24-WG083-blue,24-UG06,24-UG02","24-MB02,24-UB02",6/26/25,6/26/25
24-WB04,Bag,simple,"Gear,Collections,Bags",Push It Messenger Bag,"The name says so, but the Push It Messenger Bag is much more than a busy commuter's tote. It's a closet away from home when you're pedaling from class or work to gym and back or home again. It's the perfect size and shape for laptop, folded clothes, even extra shoes.
Adjustable crossbody strap.
Top handle.
Zippered interior pocket.
Secure clip closures.
Durable fabric construction.",45.0,/w/b/wb04-blue-0.jpg,100.0,1.0,,"24-WG082-pink,24-UG05,24-UG02,24-UG06","24-MB02,24-UB02",6/26/25,6/26/25
24-UG06,Gear,simple,"Gear,Fitness Equipment",Affirm Water Bottle ,"You'll stay hydrated with ease with the Affirm Water Bottle by your side or in hand. Measurements on the outside help you keep track of how much you're drinking, while the screw-top lid prevents spills. A metal carabiner clip allows you to attach it to the outside of a backpack or bag for easy access.
Made of plastic.
Grooved sides for an easy grip.",7.0,/u/g/ug06-lb-0.jpg,100.0,1.0,"24-UG04,24-WG086,24-WG083-blue,24-UG07","24-WG080,24-WG087,24-UG07,24-UG03",,6/26/25,6/26/25
